Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1900,Paris,Athletics,Athletics,"MCCRACKEN, Josiah",USA,Men,Hammer Throw,Bronze
1900,Paris,Athletics,Athletics,"FLANAGAN, John Jesus",USA,Men,Hammer Throw,Gold
1900,Paris,Athletics,Athletics,"HARE, Thomas Truxton",USA,Men,Hammer Throw,Silver
1900,Paris,Athletics,Athletics,"G_NCZY, Lajos",HUN,Men,High Jump,Bronze
1900,Paris,Athletics,Athletics,"BAXTER, Irving",USA,Men,High Jump,Gold
1900,Paris,Athletics,Athletics,"LEAHY, Patrick Joseph",GBR,Men,High Jump,Silver
1900,Paris,Athletics,Athletics,"SHELDON, Lewis Pendleton",USA,Men,"High Jump, Standing",Bronze
1900,Paris,Athletics,Athletics,"EWRY, Ray",USA,Men,"High Jump, Standing",Gold
1900,Paris,Athletics,Athletics,"BAXTER, Irving",USA,Men,"High Jump, Standing",Silver
1900,Paris,Athletics,Athletics,"LEAHY, Patrick Joseph",GBR,Men,Long Jump,Bronze
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,Long Jump,Gold
1900,Paris,Athletics,Athletics,"PRINSTEIN, Meyer",USA,Men,Long Jump,Silver
1900,Paris,Athletics,Athletics,"TORCHEBOEUF, Emile",FRA,Men,"Long Jump, Standing",Bronze
1900,Paris,Athletics,Athletics,"EWRY, Ray",USA,Men,"Long Jump, Standing",Gold
1900,Paris,Athletics,Athletics,"BAXTER, Irving",USA,Men,"Long Jump, Standing",Silver
1900,Paris,Athletics,Athletics,"FAST, Ernst",SWE,Men,Marathon,Bronze
1900,Paris,Athletics,Athletics,"THEATO, Michel",FRA,Men,Marathon,Gold
1900,Paris,Athletics,Athletics,"CHAMPION, Emile",FRA,Men,Marathon,Silver
1900,Paris,Athletics,Athletics,"ANDERSEN, Carl Albert",NOR,Men,Pole Vault,Bronze
1900,Paris,Athletics,Athletics,"BAXTER, Irving",USA,Men,Pole Vault,Gold
1900,Paris,Athletics,Athletics,"COLKETT, Meredith Bright",USA,Men,Pole Vault,Silver
1900,Paris,Athletics,Athletics,"GARRETT, Robert",USA,Men,Shot Put,Bronze
1900,Paris,Athletics,Athletics,"SHELDON, Richard",USA,Men,Shot Put,Gold
1900,Paris,Athletics,Athletics,"MCCRACKEN, Josiah",USA,Men,Shot Put,Silver
1900,Paris,Athletics,Athletics,"SHELDON, Lewis Pendleton",USA,Men,Triple Jump,Bronze
1900,Paris,Athletics,Athletics,"PRINSTEIN, Meyer",USA,Men,Triple Jump,Gold
1900,Paris,Athletics,Athletics,"CONNOLLY, James",USA,Men,Triple Jump,Silver
1900,Paris,Athletics,Athletics,"GARRETT, Robert",USA,Men,"Triple Jump, Standing",Bronze
1900,Paris,Athletics,Athletics,"EWRY, Ray",USA,Men,"Triple Jump, Standing",Gold
1900,Paris,Athletics,Athletics,"BAXTER, Irving",USA,Men,"Triple Jump, Standing",Silver
1900,Paris,Basque Pelota,Basque Pelota,"De AMEZOLA y ASPIZUA, José",ESP,Men,Cesta Punta,Gold
1900,Paris,Basque Pelota,Basque Pelota,"VILLOTA BAQUIOLA, Francisco",ESP,Men,Cesta Punta,Gold
1900,Paris,Basque Pelota,Basque Pelota,"DURQUETTY, Maurice",FRA,Men,Cesta Punta,Silver
1900,Paris,Basque Pelota,Basque Pelota,ETCHEGARAY,FRA,Men,Cesta Punta,Silver
1900,Paris,Cricket,Cricket,"BEACHCROFT, Charles",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"BIRKETT, Arthur Ernest",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"BOWERMAN, Alfred James",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"BUCKLEY, George John",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"BURCHELL, Francis Romulus",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"CHRISTIAN, Frederick William",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"CORNER, Harry Richard",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"CUMING, Frederick Wlliam",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"DONNE, William Stephen",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"POWLESLAND, Alfred James",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"SYMES, John",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"TOLLER, Montagu Henry",GBR,Men,Cricket,Gold
1900,Paris,Cricket,Cricket,"ANDERSON, W.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"ATTRILL, W.T.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"BRAID, J.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"BROWNING, W.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"HORNE, R.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"JORDAN, T.H.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"MCEVOY, A.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"ROBINSON, D.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"ROQUES, F.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"SCHNEIDAU, A.J.",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"TERRY, Henry John",FRA,Men,Cricket,Silver
1900,Paris,Cricket,Cricket,"TOMALIN, P.H.",FRA,Men,Cricket,Silver
1900,Paris,Croquet,Croquet,AUMOITTE,FRA,Men,Double,Gold
1900,Paris,Croquet,Croquet,JOHIN,FRA,Men,Double,Gold
1900,Paris,Croquet,Croquet,WAYDELICH,FRA,Men,Individual 1 Ball,Bronze
1900,Paris,Croquet,Croquet,AUMOITTE,FRA,Men,Individual 1 Ball,Gold
1900,Paris,Croquet,Croquet,JOHIN,FRA,Men,Individual 1 Ball,Silver
1900,Paris,Croquet,Croquet,SAUTREAU,FRA,Men,Individual 2 Balls,Bronze
1900,Paris,Croquet,Croquet,WAYDELICH,FRA,Men,Individual 2 Balls,Gold
1900,Paris,Croquet,Croquet,VIGNEROT,FRA,Men,Individual 2 Balls,Silver
1900,Paris,Cycling,Cycling Track,"DAUMAIN, .....",FRA,Men,25 Kilometres,Bronze
1900,Paris,Cycling,Cycling Track,"BASTIEN, Louis",FRA,Men,25 Kilometres,Gold
1900,Paris,Cycling,Cycling Track,"HILDEBRAND, Louis",FRA,Men,25 Kilometres,Silver
1900,Paris,Cycling,Cycling Track,"LAKE, John Henry",USA,Men,Sprint Indivual,Bronze
1900,Paris,Cycling,Cycling Track,"TAILLANDIER, Georges",FRA,Men,Sprint Indivual,Gold
1900,Paris,Cycling,Cycling Track,"SANZ, Fernand",FRA,Men,Sprint Indivual,Silver
1900,Paris,Equestrian,Jumping,"VAN DE POELE, Georges",BEL,Men,High Jump,Bronze
1900,Paris,Equestrian,Jumping,"GARDERES, Dominique Maximien",FRA,Men,High Jump,Gold
1900,Paris,Equestrian,Jumping,"TRISSINO, Gian Giorgio",ITA,Men,High Jump,Gold
1900,Paris,Equestrian,Jumping,"DE CHAMPSAVIN, Louis",FRA,Men,Individual,Bronze
1900,Paris,Equestrian,Jumping,"HAEGEMAN, Aimé",BEL,Men,Individual,Gold
1900,Paris,Equestrian,Jumping,"VAN DE POELE, Georges",BEL,Men,Individual,Silver
1900,Paris,Equestrian,Jumping,DE BELLEGARDE,FRA,Men,Long Jump Individual,Bronze
1900,Paris,Equestrian,Jumping,"VAN LANGHENDONCK, Constant",BEL,Men,Long Jump Individual,Gold
1900,Paris,Equestrian,Jumping,"TRISSINO, Gian Giorgio",ITA,Men,Long Jump Individual,Silver
1900,Paris,Fencing,Fencing,"SEE, Léon",FRA,Men,_pée Individual,Bronze
1900,Paris,Fencing,Fencing,"FONST, Ramon",CUB,Men,_pée Individual,Gold
1900,Paris,Fencing,Fencing,"PERREE, Louis",FRA,Men,_pée Individual,Silver
1900,Paris,Fencing,Fencing,"SEE, Léon",FRA,Men,"_pée, Amateurs And Masters",Bronze
1900,Paris,Fencing,Fencing,"AYAT, Albert",FRA,Men,"_pée, Amateurs And Masters",Gold
1900,Paris,Fencing,Fencing,"FONST, Ramon",CUB,Men,"_pée, Amateurs And Masters",Silver
1900,Paris,Fencing,Fencing,"LAURENT, Henri",FRA,Men,"_pée, Masters",Bronze
1900,Paris,Fencing,Fencing,"AYAT, Albert",FRA,Men,"_pée, Masters",Gold
1900,Paris,Fencing,Fencing,"BOUGNOL, Emile",FRA,Men,"_pée, Masters",Silver
1900,Paris,Fencing,Fencing,"BOULENGER, Marcel Jacques",FRA,Men,Foil Individual,Bronze
1900,Paris,Fencing,Fencing,"COSTE, Emile",FRA,Men,Foil Individual,Gold
1900,Paris,Fencing,Fencing,"MASSON, Henri",FRA,Men,Foil Individual,Silver
1900,Paris,Fencing,Fencing,"MIMIAGUE, Jean-Baptiste",FRA,Men,"Foil, Masters",Bronze
1900,Paris,Fencing,Fencing,"MERIGNAC, Lucien",FRA,Men,"Foil, Masters",Gold
1900,Paris,Fencing,Fencing,"KIRCHHOFFER, Alphonse",FRA,Men,"Foil, Masters",Silver
1900,Paris,Fencing,Fencing,"FLESCH, Siegfried",AUT,Men,Sabre Individual,Bronze
1900,Paris,Fencing,Fencing,"DE LA FALAISE, Georges",FRA,Men,Sabre Individual,Gold
1900,Paris,Fencing,Fencing,"THIEBAUT, Léon",FRA,Men,Sabre Individual,Silver
1900,Paris,Fencing,Fencing,"NERALIC, Milan",AUT,Men,"Sabre, Masters",Bronze
1900,Paris,Fencing,Fencing,"CONTE, Antonio",ITA,Men,"Sabre, Masters",Gold
1900,Paris,Fencing,Fencing,"SANTELLI, Italo",ITA,Men,"Sabre, Masters",Silver
1900,Paris,Football,Football,"DELBECQUE, Albert",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"KELECOM, R.",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"LEBOUTTE, Marcel",BEL,Men,Football,Bronze
1900,Paris,Football,Football,LONDOT,BEL,Men,Football,Bronze
1900,Paris,Football,Football,"MOREAU, Ernest",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"NEEFS, E.",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"PELGRIMS, Georges",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"RENIER, Alphonse",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"SPANNOGHE, E.",BEL,Men,Football,Bronze
1900,Paris,Football,Football,"THORNTON, Erich",BEL,Men,Football,Bronze
1900,Paris,Football,Football,VAN HEUCKELUM,BEL,Men,Football,Bronze
1900,Paris,Football,Football,"BUCKENHAM, Claude Percy",GBR,Men,Football,Gold
1900,Paris,Football,Football,"BURRIDGE, T.E.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"CHALK, Alfred Ernest",GBR,Men,Football,Gold
1900,Paris,Football,Football,"GROSLING, William Sullivan",GBR,Men,Football,Gold
1900,Paris,Football,Football,"HASLAM, A.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"JONES, J.H.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"NICHOLAS, J.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"QUASH, William Francis",GBR,Men,Football,Gold
1900,Paris,Football,Football,"SPACKMAN, F.G.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"TURNER, R.R.",GBR,Men,Football,Gold
1900,Paris,Football,Football,"ZEALLEY, James Edward",GBR,Men,Football,Gold
1900,Paris,Football,Football,"ALLEMANE, Pierre",FRA,Men,Football,Silver
1900,Paris,Football,Football,BACH,FRA,Men,Football,Silver
1900,Paris,Football,Football,"BLOCH, Jean",FRA,Men,Football,Silver
1900,Paris,Football,Football,"CANELLE, Fernand",FRA,Men,Football,Silver
1900,Paris,Football,Football,DUPARC,FRA,Men,Football,Silver
1900,Paris,Football,Football,FRAYSSE,FRA,Men,Football,Silver
1900,Paris,Football,Football,GAILLARD,FRA,Men,Football,Silver
1900,Paris,Football,Football,"GARNIER, René",FRA,Men,Football,Silver
1900,Paris,Football,Football,GRANDJEAN,FRA,Men,Football,Silver
1900,Paris,Football,Football,HUTEAU,FRA,Men,Football,Silver
1900,Paris,Football,Football,LAMBERT,FRA,Men,Football,Silver
1900,Paris,Football,Football,MACAIRE,FRA,Men,Football,Silver
1900,Paris,Football,Football,PELTIER,FRA,Men,Football,Silver
1900,Paris,Golf,Golf,"ROBERTSON, David Donaldson",GBR,Men,Individual,Bronze
1900,Paris,Golf,Golf,"SANDS, Charles Edward",USA,Men,Individual,Gold
1900,Paris,Golf,Golf,"RUTHERFORD, Walter",GBR,Men,Individual,Silver
1900,Paris,Golf,Golf,"PRATT, Daria",USA,Women,Individual,Bronze
1900,Paris,Golf,Golf,"ABBOTT, Margaret Ives",USA,Women,Individual,Gold
1900,Paris,Golf,Golf,"WHITTIER, Pauline",USA,Women,Individual,Silver
1900,Paris,Gymnastics,Artistic G.,"DEMANET, Lucien",FRA,Men,Individual All-Round,Bronze
1900,Paris,Gymnastics,Artistic G.,"SANDRAS, Gustave",FRA,Men,Individual All-Round,Gold
1900,Paris,Gymnastics,Artistic G.,"BAS, Noël",FRA,Men,Individual All-Round,Silver
1900,Paris,Polo,Polo,"BOUSSOD, Jean",ZZX,Men,Polo,Bronze
1900,Paris,Polo,Polo,"DUC DE BISACCIA, Louis",ZZX,Men,Polo,Bronze
1900,Paris,Polo,Polo,"FAUQUET LEMAITRE, A.",ZZX,Men,Polo,Bronze
1900,Paris,Polo,Polo,"RAOUL-DUVAL, Maurice",ZZX,Men,Polo,Bronze
1900,Paris,Polo,Polo,"DALY, Dennis",ZZX,Men,Polo,Gold
1900,Paris,Polo,Polo,"KEENE, Foxhall Parker",ZZX,Men,Polo,Gold
1900,Paris,Polo,Polo,"MACKEY, Frank Jay",ZZX,Men,Polo,Gold
1900,Paris,Polo,Polo,"RAWLINSON, Alfred",ZZX,Men,Polo,Gold
1900,Paris,Polo,Polo,"BUCKMASTER, Walter Selby",ZZX,Men,Polo,Silver
1900,Paris,Polo,Polo,"COMTE DE MADRE, José Pierre M.J.",ZZX,Men,Polo,Silver
1900,Paris,Polo,Polo,"FREAKE, Frederick Maitland",ZZX,Men,Polo,Silver
1900,Paris,Polo,Polo,"MCCREERY, Walter Adolph",ZZX,Men,Polo,Silver
1900,Paris,Rowing,Rowing,"BRANDT, Francois Antoine",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"BROCKMANN, Hermanus Gerardus",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"KLEIN, Roelof",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"LEEGSTRA, Ruud Gerbens",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"MIDDELBERG, Walter",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"OFFERHAUS, Hendrik Karel",NED,Men,Eight With Coxswain (8+),Bronze
1900,Paris,Rowing,Rowing,"THIJSSEN, Walter",NED,Men,Eight With Coxswain (8+),Bronze
